"Country","Travel related sequences in GISAID"
"Japan",963
"Iceland",557
"India",513
"Spain",138
"USA",85
"Italy",69
"China",53
"Brazil",36
"Thailand",28
"South Africa",25
"Germany",18
"Czech Republic",17
"Canada",16
"Argentina",14
"Lebanon",12
"France",11
"Belgium",10
"Costa Rica",10
"Mexico",10
"Benin",8
"Slovakia",7
"Australia",6
"Chile",6
"Hungary",6
"Finland",5
"Kuwait",5
"Moldova",5
"Panama",5
"Switzerland",5
"Trinidad and Tobago",5
"Austria",4
"Russia",4
"Indonesia",3
"Rwanda",3
"Bosnia and Herzegovina",2
"Madagascar",2
"Romania",2
"Colombia",1
"Ecuador",1
"Ireland",1
"Malaysia",1
"New Zealand",1
"Nigeria",1
"Pakistan",1
"Philippines",1
"South Korea",1
"Sweden",1
"Turkey",1
"Vietnam",1
